category,price,discount,quantity,payment_method,delivery_time_days,region,total_amount,shipping_cost,profit_margin,customer_age,customer_gender,returned
0,26.09,0.05,1,1,5,3,24.79,6.69,4.47,53,0,1
0,17.67,0.15,3,2,6,3,45.06,5.6,14.68,32,1,0
6,6.09,0.05,2,0,4,4,11.57,3.12,1.51,39,1,0
1,142.51,0.0,1,1,6,1,142.51,8.36,8.74,43,1,0
6,11.47,0.0,3,1,4,4,34.41,5.31,8.45,22,0,0
5,97.03,0.0,3,1,6,1,291.09,9.34,77.99,51,0,0
1,97.27,0.0,1,5,5,4,97.27,7.15,4.52,63,1,0
5,124.46,0.05,1,0,4,4,118.24,8.34,27.13,42,0,0
4,84.14,0.0,1,2,5,1,84.14,6.64,16.92,64,0,0
0,9.23,0.0,3,3,5,0,27.69,5.22,7.24,51,0,0
4,170.58,0.05,1,1,5,4,162.05,9.13,36.24,41,1,0
4,103.92,0.0,1,1,4,2,103.92,7.48,21.62,37,0,0
0,15.33,0.0,1,1,3,0,15.33,4.17,2.73,50,0,0
2,41.19,0.1,2,0,4,3,74.14,6.02,19.93,45,1,0
5,215.54,0.1,1,4,6,3,193.99,6.81,51.39,67,1,0
5,17.19,0.05,1,4,6,1,16.33,4.83,0.07,24,1,0
2,13.78,0.15,1,1,6,3,11.71,3.09,1.01,50,1,0
6,5.27,0.1,3,1,4,0,14.23,4.55,1.14,52,1,0
6,15.45,0.0,2,5,6,3,30.9,3.47,8.89,27,0,0
5,484.14,0.0,1,2,5,3,484.14,7.82,137.42,68,1,0
6,8.04,0.05,1,1,5,3,7.64,2.21,0.85,27,0,0
0,3.54,0.1,1,2,4,2,3.19,0.77,0.67,33,0,0
2,29.71,0.05,1,2,5,3,28.22,6.09,3.79,59,0,0
2,119.85,0.0,1,1,6,3,119.85,6.34,35.61,60,0,0
5,129.27,0.0,3,4,5,3,387.81,10.94,105.4,66,1,0
1,250.3,0.0,1,1,6,4,250.3,8.59,21.45,28,0,0
3,15.19,0.0,1,2,6,2,15.19,3.67,-2.45,46,1,0
0,27.11,0.1,3,0,7,1,73.2,6.14,26.8,20,0,0
5,72.41,0.0,1,4,4,3,72.41,6.89,14.83,65,0,0
4,212.99,0.0,1,0,4,0,212.99,8.14,51.5,27,0,0
1,311.47,0.05,3,0,5,2,887.69,9.89,96.63,62,0,0
6,6.24,0.0,1,2,4,4,6.24,2.43,0.07,28,2,0
0,28.04,0.0,1,1,6,0,28.04,3.9,8.72,47,0,0
0,19.96,0.0,1,1,4,0,19.96,4.81,4.17,62,1,0
5,147.1,0.0,3,1,7,1,441.3,9.64,122.75,67,0,0
2,79.41,0.0,1,4,5,1,79.41,4.91,22.88,18,1,0
2,18.71,0.05,1,5,6,1,17.77,3.04,3.18,26,1,1
4,37.13,0.05,1,0,3,2,35.27,5.99,3.89,33,1,0
0,10.26,0.0,1,2,7,4,10.26,2.76,1.86,36,0,0
1,95.6,0.0,1,3,7,1,95.6,6.3,5.17,25,0,0
3,31.32,0.05,1,4,4,2,29.75,5.15,-2.77,55,1,0
4,345.99,0.05,1,1,4,2,328.69,8.49,83.54,28,0,0
2,10.33,0.0,1,1,3,0,10.33,3.64,-0.02,47,2,0
3,5.91,0.2,1,1,5,1,4.73,1.89,-1.51,53,0,0
1,503.74,0.0,1,1,3,0,503.74,8.62,51.83,64,1,0
2,11.78,0.0,1,2,5,3,11.78,4.05,0.07,40,0,1
3,11.02,0.05,1,3,5,2,10.47,4.47,-3.63,18,1,0
2,42.8,0.05,1,2,4,2,40.66,5.92,8.31,51,0,0
1,295.73,0.3,1,1,5,1,207.01,8.84,16.0,60,1,0
5,27.47,0.0,1,3,4,2,27.47,4.49,3.75,60,1,0
0,43.23,0.0,4,1,7,1,172.92,9.08,68.73,69,0,0
4,12.63,0.2,4,1,3,2,40.42,6.19,5.13,36,1,0
0,9.74,0.0,1,5,5,3,9.74,2.94,1.44,49,1,0
4,239.93,0.0,3,1,4,2,719.79,10.11,191.43,28,0,0
0,30.8,0.1,2,0,6,1,55.44,6.12,18.83,63,1,0
2,32.6,0.0,1,1,6,0,32.6,6.82,4.59,69,1,0
5,24.32,0.2,2,1,4,0,38.91,7.31,4.36,51,0,0
6,55.35,0.05,1,3,7,3,52.58,6.08,14.95,55,1,0
0,26.14,0.0,1,3,6,1,26.14,3.91,7.85,51,1,1
1,328.58,0.0,4,1,5,3,1314.32,9.11,148.61,66,1,0
6,3.77,0.0,1,1,4,4,3.77,2.06,-0.55,21,1,0
6,20.89,0.0,1,1,5,2,20.89,4.18,4.18,30,1,0
6,10.18,0.0,2,1,3,2,20.36,3.22,4.92,18,0,0
5,166.35,0.0,4,5,5,3,665.4,8.14,191.48,45,2,0
2,10.62,0.0,1,2,7,1,10.62,3.07,0.65,28,0,1
4,157.33,0.2,1,0,5,2,125.86,7.05,28.19,26,0,0
0,6.07,0.0,3,0,7,1,18.21,2.28,5.91,68,0,0
5,107.72,0.1,1,3,7,3,96.95,7.03,22.06,35,2,0
4,88.53,0.0,1,2,3,2,88.53,6.82,17.97,33,0,0
4,19.25,0.05,1,1,7,1,18.29,4.63,0.49,25,0,0
3,13.93,0.0,1,2,7,1,13.93,4.05,-2.94,36,1,0
1,246.13,0.0,1,0,4,3,246.13,7.89,21.65,21,0,0
1,343.5,0.0,1,1,5,1,343.5,8.76,32.46,47,1,0
1,137.74,0.05,1,0,5,3,130.85,7.86,7.84,37,0,0
6,26.5,0.05,1,2,3,0,25.17,4.13,5.94,55,1,0
1,287.79,0.15,1,1,4,4,244.62,7.08,22.27,25,2,0
1,52.05,0.1,1,2,4,3,46.84,4.93,0.69,35,1,0
0,9.15,0.0,2,0,7,3,18.3,5.46,2.78,41,1,0
3,3.73,0.0,1,0,6,3,3.73,2.67,-2.37,29,0,0
2,15.18,0.0,1,1,6,4,15.18,3.71,1.6,47,1,1
0,16.38,0.0,1,1,4,2,16.38,5.3,2.07,67,1,0
2,12.71,0.05,2,1,6,1,24.15,4.83,3.62,27,0,0
2,75.14,0.0,1,4,6,4,75.14,8.67,17.63,54,1,0
1,428.42,0.05,1,4,3,2,407.0,10.52,38.32,49,1,0
4,60.51,0.0,1,0,5,4,60.51,4.16,12.78,37,1,1
4,117.51,0.0,1,3,4,4,117.51,8.5,24.4,29,0,0
0,14.73,0.0,1,4,6,1,14.73,1.85,4.78,36,1,0
0,27.62,0.05,1,2,5,1,26.24,6.05,5.76,46,0,0
6,18.26,0.0,1,1,3,2,18.26,5.19,2.11,34,0,0
4,120.72,0.1,1,2,6,3,108.65,7.51,22.91,55,0,0
3,8.63,0.0,1,5,3,0,8.63,3.99,-3.3,28,1,0
4,16.19,0.15,1,2,7,3,13.76,6.17,-2.32,31,1,0
2,34.51,0.0,1,4,3,0,34.51,7.67,4.41,55,1,0
1,529.51,0.0,1,1,6,4,529.51,9.6,53.94,43,1,0
2,180.89,0.0,1,2,6,1,180.89,7.06,56.25,58,1,1
0,13.31,0.15,1,1,6,1,11.31,4.0,1.09,18,0,0
4,15.44,0.0,1,2,3,2,15.44,2.49,1.83,68,0,0
3,14.88,0.0,1,1,5,3,14.88,3.87,-2.68,39,0,0
5,91.96,0.15,2,1,4,2,156.33,8.64,38.26,43,1,0
2,26.07,0.0,1,4,10,1,26.07,5.4,3.72,50,0,0
1,177.5,0.3,2,2,6,3,248.5,6.8,23.02,37,0,0
1,515.79,0.0,3,1,7,3,1547.37,10.38,175.3,24,0,0
2,56.89,0.15,1,1,4,2,48.36,4.86,12.07,35,0,0
1,434.51,0.1,1,2,4,4,391.06,8.41,38.52,20,0,0
1,56.05,0.1,2,1,5,4,100.89,6.41,5.7,50,0,0
5,127.94,0.0,1,1,4,3,127.94,7.97,30.41,25,0,0
0,27.56,0.15,1,4,4,2,23.43,5.45,5.09,69,1,0
5,210.93,0.1,1,2,5,0,189.84,9.14,47.81,42,0,0
6,28.62,0.0,2,1,4,0,57.24,6.01,16.89,25,0,0
2,26.11,0.05,2,5,5,1,49.61,6.0,11.36,19,0,0
6,33.91,0.15,2,2,6,1,57.65,5.61,17.45,44,1,0
0,50.77,0.0,1,2,5,1,50.77,6.95,15.9,59,0,0
2,16.07,0.3,1,1,7,1,11.25,3.88,0.06,47,1,0
5,188.05,0.0,3,0,5,3,564.15,8.79,160.45,59,0,0
3,6.5,0.05,1,5,5,4,6.18,1.85,-1.36,47,2,0
6,13.11,0.0,4,1,4,0,52.44,8.51,12.47,23,1,0
6,68.55,0.0,1,5,3,0,68.55,4.51,22.91,57,0,0
0,13.54,0.0,1,1,4,4,13.54,3.72,2.37,41,1,0
3,6.9,0.0,1,2,4,4,6.9,3.43,-2.88,22,0,0
2,43.78,0.0,1,1,4,4,43.78,4.44,10.88,59,0,0
4,75.5,0.1,1,1,7,1,67.95,8.62,10.41,35,0,0
0,22.18,0.0,1,1,4,0,22.18,6.22,3.76,61,1,0
3,27.65,0.0,1,4,5,3,27.65,4.68,-2.47,31,0,0
1,134.02,0.0,2,1,5,3,268.04,7.92,24.24,51,1,0
1,73.6,0.1,2,0,4,3,132.48,7.66,8.24,56,0,0
4,27.27,0.0,1,0,6,1,27.27,6.4,1.24,68,0,0
0,51.85,0.15,2,3,6,1,88.14,4.37,35.29,38,1,0
1,100.1,0.2,1,1,7,3,80.08,5.47,4.14,42,1,0
5,18.81,0.3,2,2,7,1,26.33,5.22,2.68,39,0,0
3,4.31,0.05,1,1,5,1,4.09,3.42,-3.09,65,1,0
4,171.9,0.1,1,1,6,1,154.71,7.47,35.85,36,1,1
4,220.24,0.05,1,1,4,2,209.23,7.55,51.03,19,1,0
4,226.32,0.2,1,1,4,2,181.06,7.59,43.11,29,0,0
0,13.48,0.15,3,1,5,3,34.37,4.89,10.58,23,0,0
5,116.96,0.0,1,5,6,4,116.96,6.25,28.84,53,2,0
2,6.85,0.0,5,2,5,1,34.25,5.85,6.14,43,0,0
4,42.92,0.1,2,2,4,2,77.26,7.38,14.25,19,2,0
5,412.94,0.1,1,2,3,0,371.65,9.42,102.07,31,1,0
3,6.06,0.05,1,3,3,2,5.76,2.85,-2.39,52,1,0
1,158.61,0.0,1,1,4,4,158.61,5.85,13.18,23,0,0
2,67.82,0.0,1,0,3,2,67.82,6.54,17.2,50,1,0
4,124.56,0.05,1,0,6,3,118.33,7.46,25.67,31,0,0
1,103.15,0.05,1,1,6,3,97.99,6.25,5.51,43,0,0
1,281.94,0.05,4,1,6,1,1071.37,10.64,117.92,56,0,0
1,112.8,0.0,2,0,4,3,225.6,9.46,17.61,57,0,0
3,5.29,0.05,1,1,6,1,5.03,2.09,-1.69,63,1,0
3,7.33,0.0,2,2,3,2,14.66,2.35,-1.18,35,1,0
6,39.37,0.05,1,1,7,4,37.4,4.93,10.03,47,0,0
1,1495.73,0.0,4,1,6,2,5982.92,12.25,705.7,45,0,0
5,20.87,0.0,1,1,5,0,20.87,4.43,1.83,64,1,0
0,21.49,0.0,1,1,4,2,21.49,4.67,5.0,46,1,0
1,62.28,0.0,1,4,3,2,62.28,7.1,0.37,37,0,0
1,154.25,0.0,1,1,3,2,154.25,7.78,10.73,24,1,0
1,116.78,0.0,1,3,6,3,116.78,7.43,6.58,37,2,1
3,8.55,0.0,1,5,3,2,8.55,2.11,-1.43,64,1,0
1,79.84,0.0,1,2,5,1,79.84,7.03,2.55,22,0,0
1,184.78,0.0,1,2,5,3,184.78,6.73,15.44,48,1,0
2,7.94,0.0,1,2,6,3,7.94,4.57,-1.79,19,1,1
6,2.62,0.0,1,1,4,0,2.62,1.13,-0.08,67,1,0
0,54.08,0.05,1,1,5,3,51.38,6.83,16.29,50,0,0
2,18.41,0.0,1,5,5,1,18.41,4.16,2.28,69,0,1
1,384.02,0.0,1,1,5,0,384.02,8.57,37.51,29,1,0
5,38.74,0.05,1,4,6,0,36.8,4.37,6.67,58,0,0
2,6.32,0.05,1,2,3,2,6.0,3.19,-1.09,48,0,0
3,2.24,0.0,1,1,4,3,2.24,1.5,-1.32,25,0,0
1,768.65,0.0,1,1,5,4,768.65,10.45,81.79,59,0,0
3,6.19,0.0,1,0,6,4,6.19,3.62,-3.12,57,1,0
4,137.42,0.05,3,1,3,2,391.65,10.38,99.28,57,1,0
4,106.34,0.0,1,3,5,1,106.34,8.14,21.64,69,1,0
1,291.56,0.0,3,2,5,3,874.68,10.83,94.13,47,0,0
6,30.44,0.0,4,0,5,4,121.76,7.12,41.58,36,0,0
5,18.05,0.15,1,1,5,1,15.34,4.12,0.48,57,0,0
3,7.09,0.0,1,5,6,4,7.09,3.73,-3.16,35,0,0
5,107.23,0.0,1,3,7,4,107.23,5.6,26.57,19,0,1
3,16.1,0.0,1,2,4,2,16.1,4.6,-3.31,62,0,0
3,1.13,0.05,2,1,6,4,2.15,3.48,-3.31,25,0,0
4,136.2,0.0,3,2,5,0,408.6,9.74,104.67,29,1,0
2,31.42,0.0,1,0,7,4,31.42,4.86,6.14,64,1,0
3,1.49,0.15,1,1,5,3,1.27,1.06,-0.96,46,1,0
4,119.68,0.1,1,0,5,4,107.71,7.18,22.98,18,1,1
3,3.79,0.0,1,4,5,4,3.79,3.09,-2.79,49,0,0
5,66.7,0.0,2,4,5,2,133.4,8.37,31.65,22,0,0
5,27.77,0.0,1,1,4,2,27.77,3.91,4.42,19,0,0
2,33.35,0.05,3,2,6,1,95.05,3.75,29.52,28,0,0
1,107.57,0.0,1,0,6,0,107.57,7.85,5.06,33,1,0
4,19.58,0.0,2,4,3,0,39.16,7.66,3.3,50,1,0
2,31.27,0.0,2,2,5,4,62.54,7.5,14.39,27,0,0
3,3.45,0.0,1,2,5,3,3.45,2.71,-2.43,59,1,0
4,15.82,0.1,1,4,5,3,14.24,3.05,0.94,60,1,0
1,600.66,0.1,1,1,5,4,540.59,8.79,56.08,64,1,0
3,10.61,0.05,4,3,5,4,40.32,5.29,-2.06,34,0,0
2,23.37,0.0,1,1,3,2,23.37,3.84,4.34,62,0,0
1,204.66,0.05,1,5,5,1,194.43,7.88,15.45,57,1,0
5,44.49,0.0,1,1,6,0,44.49,5.56,7.79,50,1,0
4,147.12,0.0,2,2,6,0,294.24,9.99,72.4,30,1,0
4,49.36,0.1,1,1,3,2,44.42,7.09,5.35,41,1,0
5,151.37,0.0,4,1,7,3,605.48,10.16,171.48,51,1,0
1,509.69,0.0,1,3,6,1,509.69,9.56,51.6,63,0,0
0,4.43,0.1,1,1,5,3,3.99,2.67,-0.87,33,0,0
1,70.83,0.0,1,1,5,0,70.83,5.95,2.55,69,0,0
2,69.82,0.0,1,1,4,0,69.82,6.65,17.79,44,1,0
4,82.23,0.0,2,0,5,1,164.46,6.62,39.43,61,0,0
0,14.07,0.1,1,1,6,4,12.66,5.16,0.54,19,0,0
1,109.85,0.0,1,0,4,4,109.85,5.62,7.56,19,1,0
2,155.16,0.15,1,1,7,1,131.89,9.28,36.88,67,0,0
2,14.36,0.0,1,2,4,4,14.36,4.37,0.66,21,0,0
5,19.41,0.0,5,0,3,0,97.05,8.34,20.78,40,1,0
1,201.23,0.0,1,1,6,3,201.23,7.83,16.32,47,1,0
5,90.22,0.05,1,3,3,2,85.71,7.07,18.64,54,0,0
3,4.67,0.05,1,1,4,4,4.44,4.47,-4.11,19,2,0
2,16.5,0.05,3,1,3,2,47.02,7.06,9.4,20,1,0
4,20.52,0.2,2,1,7,1,32.83,3.67,5.52,50,1,0
6,20.12,0.0,1,2,8,3,20.12,5.64,2.41,48,1,0
4,245.28,0.0,1,1,4,3,245.28,8.97,59.71,36,1,0
2,55.47,0.0,1,1,4,3,55.47,6.97,12.44,46,0,0
2,50.52,0.2,1,3,4,3,40.42,4.71,9.44,61,1,0
5,81.97,0.0,4,1,3,2,327.88,7.53,90.83,19,1,0
1,190.18,0.0,1,2,3,0,190.18,6.99,15.83,64,1,0
4,91.93,0.0,1,2,7,3,91.93,6.1,19.64,34,0,0
1,149.91,0.0,3,2,5,4,449.73,9.49,44.48,54,1,0
2,25.31,0.0,1,1,5,4,25.31,4.42,4.44,35,0,0
2,80.63,0.0,1,4,3,2,80.63,6.5,21.72,27,0,0
2,51.65,0.05,1,2,6,1,49.07,5.17,12.0,28,1,0
4,73.94,0.0,1,2,3,0,73.94,5.55,15.15,40,0,0
0,41.2,0.05,2,1,4,4,78.28,5.3,29.93,68,1,0
6,12.26,0.0,1,2,4,4,12.26,4.03,0.87,47,1,0
2,63.73,0.15,1,1,5,4,54.17,6.0,12.96,45,1,1
3,6.39,0.0,1,1,6,1,6.39,2.84,-2.33,18,1,0
4,28.77,0.2,1,4,3,2,23.02,3.67,2.78,56,0,1
1,242.22,0.0,1,2,7,1,242.22,9.67,19.4,26,1,0
3,3.84,0.1,3,1,7,1,10.37,2.96,-2.13,69,1,0
6,20.7,0.05,2,5,4,2,39.33,5.66,10.07,42,0,0
4,49.71,0.0,3,2,4,2,149.13,7.44,34.32,45,0,0
4,31.49,0.0,2,2,3,2,62.98,6.12,11.51,60,0,0
4,18.91,0.15,1,1,3,2,16.07,3.78,0.72,29,0,0
3,17.46,0.2,1,4,3,2,13.97,4.05,-2.93,24,2,0
4,149.92,0.0,1,0,5,3,149.92,8.58,33.4,68,1,0
0,60.07,0.1,1,1,5,1,54.06,5.68,18.65,38,1,0
4,274.5,0.0,1,2,5,1,274.5,8.92,67.94,55,1,0
5,66.27,0.0,1,1,4,4,66.27,8.39,11.49,26,1,0
4,25.66,0.0,1,5,3,0,25.66,4.48,2.7,29,1,0
3,48.37,0.0,1,1,5,1,48.37,4.43,-0.56,49,1,0
4,223.69,0.0,3,4,7,4,671.07,10.25,177.65,51,0,0
5,24.66,0.0,1,1,6,3,24.66,5.12,2.28,44,0,0
5,237.07,0.0,1,1,4,0,237.07,7.43,63.69,21,0,0
1,548.31,0.0,3,5,7,1,1644.93,9.92,187.47,64,1,0
4,475.39,0.1,1,1,4,3,427.85,9.44,110.36,19,0,0
4,60.78,0.1,1,3,5,3,54.7,7.8,7.52,45,1,0
6,21.42,0.0,1,1,4,4,21.42,4.79,3.78,34,1,0
0,24.16,0.05,1,2,3,2,22.95,5.47,4.86,41,1,0
2,27.43,0.0,1,2,4,4,27.43,4.31,5.29,42,0,0
2,38.28,0.05,1,4,4,4,36.37,6.14,6.59,50,1,0
3,1.41,0.05,2,2,7,3,2.68,2.56,-2.35,61,1,0
0,31.47,0.1,1,1,4,0,28.32,6.6,6.14,37,0,0
2,19.37,0.0,1,1,6,3,19.37,3.81,2.97,18,2,0
3,2.41,0.05,5,4,5,0,11.45,3.14,-2.22,44,0,0
3,23.22,0.2,1,2,4,0,18.58,5.74,-4.25,37,1,0
3,16.08,0.0,1,1,7,1,16.08,5.31,-4.02,52,0,0
5,138.46,0.05,1,2,4,4,131.54,7.81,31.65,60,1,1
4,169.8,0.0,1,0,4,3,169.8,8.89,38.65,61,0,0
1,365.16,0.0,1,4,6,2,365.16,9.43,34.39,20,1,0
5,181.32,0.05,2,0,5,1,344.51,7.68,95.67,61,0,0
1,440.21,0.1,1,1,5,3,396.19,7.62,39.92,45,1,0
1,159.09,0.0,1,1,4,0,159.09,7.28,11.81,44,1,0
0,12.44,0.0,1,4,4,3,12.44,4.63,0.97,60,2,0
2,34.45,0.05,1,2,7,3,32.73,5.37,6.09,30,1,0
2,41.95,0.0,1,3,6,4,41.95,5.59,9.09,55,1,0
1,331.6,0.0,1,1,4,3,331.6,7.74,32.05,41,0,0
4,100.02,0.0,1,1,4,4,100.02,7.02,20.99,28,0,0
1,79.87,0.1,4,0,4,4,287.53,8.42,26.08,31,0,0
6,39.1,0.0,1,0,5,3,39.1,4.96,10.68,31,0,0
0,5.11,0.0,1,0,5,1,5.11,2.57,-0.27,69,0,0
5,20.74,0.05,1,0,5,1,19.7,5.44,0.47,67,0,0
4,82.99,0.05,2,0,5,2,157.68,7.97,36.18,58,0,0
5,662.03,0.15,3,2,4,2,1688.18,11.53,494.92,61,0,0
3,18.13,0.0,1,0,5,2,18.13,3.85,-2.4,61,1,0
4,47.22,0.0,1,2,5,0,47.22,5.38,7.84,58,1,0
6,24.76,0.05,1,2,4,3,23.52,5.68,3.73,56,1,0
2,132.03,0.0,1,1,6,3,132.03,8.07,38.14,48,1,0
0,40.24,0.2,1,2,3,2,32.19,6.86,7.63,43,1,0
1,278.72,0.0,1,3,6,4,278.72,9.75,23.7,34,1,0
0,110.25,0.1,1,1,4,0,99.22,5.91,38.74,22,0,0
0,7.27,0.1,1,1,7,3,6.54,3.47,-0.53,26,0,0
1,442.16,0.05,1,4,4,2,420.05,10.16,40.25,54,1,0
0,30.51,0.05,1,1,4,0,28.98,4.51,8.53,46,0,0
2,109.06,0.05,2,3,3,0,207.21,8.6,63.92,47,1,0
4,17.13,0.05,1,3,5,3,16.27,2.63,1.93,64,1,0
1,122.34,0.3,1,1,4,3,85.64,6.84,3.44,57,2,0
2,89.39,0.0,2,5,4,4,178.78,7.9,54.67,57,1,1
3,5.16,0.1,2,0,3,0,9.29,3.48,-2.74,27,0,0
6,9.93,0.05,1,1,5,4,9.43,3.61,0.16,47,0,0
4,367.99,0.0,1,3,4,3,367.99,9.2,93.84,36,1,0
6,11.5,0.2,3,2,7,1,27.6,5.98,5.06,66,1,0
4,37.15,0.0,1,1,5,3,37.15,4.25,6.15,62,0,0
0,6.18,0.0,1,2,4,0,6.18,1.81,0.97,59,0,0
0,32.97,0.15,1,1,3,0,28.02,5.83,6.78,65,1,0
6,41.31,0.05,1,4,7,2,39.24,6.47,9.23,31,1,0
4,266.95,0.15,1,2,4,2,226.91,6.58,56.95,22,1,0
5,16.81,0.15,1,2,4,2,14.29,2.28,2.01,23,0,0
5,33.41,0.0,1,2,7,1,33.41,4.81,5.21,34,0,0
5,95.21,0.05,1,2,7,3,90.45,7.79,19.35,41,0,0
5,25.1,0.0,1,1,6,0,25.1,5.51,2.02,36,0,0
4,624.49,0.0,2,3,4,3,1248.98,9.97,339.74,43,0,0
4,44.44,0.05,1,4,6,1,42.22,5.98,5.84,48,0,0
0,19.54,0.0,1,2,4,3,19.54,5.56,3.23,56,0,0
1,869.61,0.0,2,1,4,3,1739.22,11.88,196.83,57,1,0
6,22.38,0.0,1,3,4,4,22.38,4.83,4.12,58,1,0
4,23.81,0.0,2,2,5,4,47.62,6.16,7.17,30,0,0
3,5.8,0.0,1,2,5,3,5.8,1.99,-1.53,39,1,0
2,48.24,0.0,1,2,5,1,48.24,8.19,8.69,29,0,0
6,28.67,0.05,1,1,5,3,27.24,5.61,5.29,68,0,0
6,11.95,0.0,1,1,6,1,11.95,3.66,1.12,52,1,0
5,226.78,0.0,3,0,5,4,680.34,10.47,193.63,25,1,0
0,8.58,0.15,1,1,5,0,7.29,2.91,0.37,68,1,0
2,29.14,0.0,2,0,5,2,58.28,6.48,13.92,43,1,0
2,422.8,0.0,2,1,6,4,845.6,8.25,287.71,30,0,0
3,9.39,0.05,2,2,4,4,17.84,4.49,-3.06,26,1,0
4,74.78,0.0,1,2,4,3,74.78,5.76,15.18,39,0,0
2,14.66,0.0,3,5,4,4,43.98,4.23,11.16,53,2,0
0,37.54,0.05,1,4,6,3,35.66,5.83,10.22,64,1,0
0,3.85,0.0,1,2,5,2,3.85,1.59,0.14,60,1,0
6,40.98,0.2,1,5,4,3,32.78,5.29,7.82,42,0,0
2,78.41,0.0,1,2,5,3,78.41,6.4,21.04,62,0,1
5,216.72,0.1,1,1,4,0,195.05,7.62,50.9,40,0,0
6,56.08,0.0,1,2,5,4,56.08,5.16,17.27,48,0,0
5,137.06,0.0,1,3,5,3,137.06,7.76,33.36,31,0,0
0,9.57,0.05,1,1,7,3,9.09,1.68,2.41,29,1,0
2,83.92,0.1,1,3,7,1,75.53,6.4,20.04,26,0,0
2,22.12,0.05,1,3,4,2,21.01,3.5,3.85,30,0,0
1,91.8,0.05,2,1,4,2,174.42,6.23,14.7,24,0,0
6,30.63,0.0,1,1,4,0,30.63,4.45,7.8,35,0,0
2,142.82,0.0,1,0,3,2,142.82,7.87,42.12,61,1,0
5,91.93,0.3,2,0,5,0,128.7,8.38,30.23,53,0,0
2,210.02,0.0,2,1,4,2,420.04,9.8,137.21,49,0,0
3,6.31,0.2,1,5,4,4,5.05,2.97,-2.57,26,1,0
6,15.3,0.15,1,1,6,1,13.0,5.05,0.15,38,1,0
3,4.43,0.0,1,1,7,2,4.43,4.49,-4.14,60,1,0
0,9.25,0.2,1,1,3,2,7.4,3.6,-0.27,43,0,0
0,8.18,0.0,1,1,5,1,8.18,2.27,1.41,56,0,0
5,42.33,0.0,1,1,5,4,42.33,5.82,6.88,27,1,0
6,40.27,0.2,1,2,5,1,32.22,6.12,6.77,19,1,0
2,28.87,0.0,1,3,4,4,28.87,4.12,5.98,20,0,0
1,638.63,0.0,1,4,3,0,638.63,9.09,67.55,26,2,0
0,18.99,0.0,2,3,6,4,37.98,4.22,12.87,50,0,0
0,13.7,0.0,2,1,5,2,27.4,7.59,4.74,24,0,0
3,42.87,0.1,1,2,4,2,38.58,6.01,-2.92,57,1,0
2,40.87,0.0,1,1,5,1,40.87,6.55,7.75,38,0,0
1,113.65,0.1,1,4,5,4,102.29,7.77,4.5,20,0,0
0,25.21,0.0,1,4,5,4,25.21,4.67,6.67,26,0,0
0,17.75,0.0,2,0,5,2,35.5,3.62,12.36,28,2,0
5,56.89,0.0,1,2,4,4,56.89,3.45,13.62,27,1,0
3,5.42,0.15,1,2,9,1,4.61,1.33,-0.96,59,1,0
1,874.61,0.3,1,3,5,0,612.23,9.46,64.01,32,1,0
0,30.88,0.0,1,1,4,4,30.88,3.96,9.94,65,1,0
0,3.95,0.3,1,1,4,0,2.76,1.33,-0.09,37,1,0
0,48.94,0.0,1,0,5,1,48.94,5.96,16.06,65,1,0
1,477.69,0.05,1,3,4,0,453.81,8.14,46.32,50,1,0
6,74.02,0.0,1,1,5,3,74.02,7.59,22.02,54,1,0
1,617.36,0.1,1,0,7,1,555.62,7.83,58.84,36,0,0
1,358.49,0.0,1,1,5,3,358.49,8.88,34.14,28,0,0
5,305.12,0.0,1,2,4,2,305.12,9.18,82.36,32,1,0
2,90.17,0.15,1,2,4,3,76.64,7.16,19.66,36,1,0
1,275.81,0.0,1,1,5,3,275.81,8.76,24.34,39,1,0
5,12.18,0.1,1,1,5,2,10.96,3.58,-0.29,29,0,0
1,67.45,0.0,1,0,7,1,67.45,6.05,2.04,40,1,0
3,15.2,0.05,1,1,3,2,14.44,5.0,-3.84,69,0,0
5,124.16,0.0,2,4,6,3,248.32,7.52,66.98,30,1,1
0,53.91,0.1,2,1,5,3,97.04,6.32,37.35,35,0,0
4,139.59,0.0,1,3,5,4,139.59,6.96,32.13,44,1,0
1,369.6,0.1,1,1,4,3,332.64,8.54,31.38,58,1,0
6,17.35,0.1,1,1,5,2,15.62,3.69,2.56,38,2,0
4,275.01,0.0,1,2,4,0,275.01,8.27,68.73,40,1,0
0,20.91,0.0,4,2,7,1,83.64,4.92,32.72,40,0,0
0,9.24,0.05,1,2,6,3,8.78,2.37,1.58,63,1,0
0,16.07,0.0,4,1,6,1,64.28,5.91,23.02,57,1,0
6,2.97,0.0,1,2,4,3,2.97,1.46,-0.27,48,0,0
6,16.51,0.0,3,4,8,3,49.53,6.74,13.07,63,0,0
0,4.11,0.0,1,2,3,0,4.11,3.23,-1.38,40,1,0
1,710.15,0.0,1,2,3,0,710.15,9.11,76.11,18,0,0
5,27.62,0.0,1,0,4,3,27.62,5.36,2.93,53,0,0
4,32.17,0.0,2,1,4,3,64.34,6.2,11.82,22,0,0
5,52.42,0.1,1,2,6,4,47.18,4.83,9.32,41,0,0
0,15.26,0.2,1,2,7,3,12.21,5.16,0.33,29,1,0
4,331.1,0.0,1,4,4,2,331.1,8.65,84.06,26,1,0
5,174.02,0.0,1,1,6,1,174.02,9.56,42.65,57,1,0
